id,name,gender,yearOfBirth,url,longitude,latitude
10093,"Abakanowicz, Magdalena",Female,1930,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093,19.1451,51.9194
0,"Abbey, Edwin Austin",Male,1852,http://www.tate.org.uk/art/artists/edwin-austin-abbey-0,-75.1652,39.9526
2756,"Abbott, Berenice",Female,1898,http://www.tate.org.uk/art/artists/berenice-abbott-2756,-72.5898,42.1015
1,"Abbott, Lemuel Francis",Male,1760,http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1,-1.14059,52.7401
622,"Abrahams, Ivor",Male,1935,http://www.tate.org.uk/art/artists/ivor-abrahams-622,-2.63251,53.5451
2606,Absalon,Male,1964,http://www.tate.org.uk/art/artists/absalon-2606,34.7818,32.0853
9550,"Abts, Tomma",Female,1967,http://www.tate.org.uk/art/artists/tomma-abts-9550,10.1228,54.3233
623,"Acconci, Vito",Male,1940,http://www.tate.org.uk/art/artists/vito-acconci-623,-74.0059,40.7128
624,"Ackling, Roger",Male,1947,http://www.tate.org.uk/art/artists/roger-ackling-624,-0.329003,51.4671
625,"Ackroyd, Norman",Male,1938,http://www.tate.org.uk/art/artists/norman-ackroyd-625,-1.54908,53.8008
2411,"Adam, Robert",Male,1728,http://www.tate.org.uk/art/artists/robert-adam-2411,-3.15814,56.1168
626,"Adams, Harry William",Male,1868,http://www.tate.org.uk/art/artists/harry-william-adams-626,-2.22158,52.1936
627,"Adams, Norman",Male,1927,http://www.tate.org.uk/art/artists/norman-adams-627,-0.127758,51.5074
628,"Adams, Robert",Male,1917,http://www.tate.org.uk/art/artists/robert-adams-628,-0.902656,52.2405
629,"Adeney, Bernard",Male,1878,http://www.tate.org.uk/art/artists/bernard-adeney-629,-0.127758,51.5074
630,"Adler, Jankel",Male,1895,http://www.tate.org.uk/art/artists/jankel-adler-630,19.5349,51.6104
2608,"Adshead, Mary",Female,1904,http://www.tate.org.uk/art/artists/mary-adshead-2608,-0.127758,51.5074
631,"Adzak, Roy",Male,1927,http://www.tate.org.uk/art/artists/roy-adzak-631,-0.97813,51.4543
632,Afro,Male,1912,http://www.tate.org.uk/art/artists/afro-afro-basaldella-632,13.2346,46.0711
633,"Agar, Eileen",Female,1899,http://www.tate.org.uk/art/artists/eileen-agar-633,-58.483,-37.1503
2,"Agasse, Jacques Laurent",Male,1767,http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2,6.1423,46.1984
3098,"Ahtila, Eija-Liisa",Female,1959,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098,24.4673,60.9936
8208,"Ai, Weiwei",Male,1957,http://www.tate.org.uk/art/artists/ai-weiwei-8208,116.88,40.1856
634,"Aitchison, Craigie",Male,1926,http://www.tate.org.uk/art/artists/craigie-aitchison-634,-3.18827,55.9533
635,"Ajmone, Giuseppe",Male,1923,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635,8.41645,45.5329
14744,"Aksel, Erdag",Male,1953,http://www.tate.org.uk/art/artists/erdag-aksel-14744,27.1287,38.4188
