author_name,author_gender,birthplace,pub_date,book_id,book_title,genre,pages,book_average_rating,book_fullurl
Sei Shōnagon,male,Japan,1002,18185,The Pillow Book,Cultural,419,4.02,https://www.goodreads.com/book/show/18185.The_Pillow_Book
Murasaki Shikibu,female,Japan,1008,7042,The Tale of Genji,Classics,1182,3.71,https://www.goodreads.com/book/show/7042.The_Tale_of_Genji
Abolqasem Ferdowsi,male,Iran,1010,157985,Shahnameh: The Persian Book of Kings,Poetry,886,4.52,https://www.goodreads.com/book/show/157985.Shahnameh
Anselm of Canterbury,male,France,1100,354007,The Major Works,Philosophy,544,4.01,https://www.goodreads.com/book/show/354007.The_Major_Works
Omar Khayyám,male,Iran,1120,716696,رباعيات خيام,Poetry,184,4.18,https://www.goodreads.com/book/show/716696._
Chrétien de Troyes,male,France,1190,449589,Arthurian Romances,Classics,521,3.98,https://www.goodreads.com/book/show/449589.Arthurian_Romances
Gottfried von Straßburg,male,Germany,1210,186677,Tristan: With the Tristran of Thomas,Classics,384,3.83,https://www.goodreads.com/book/show/186677.Tristan
Saadi,male,Iran,1257,1559633,The Orchard: The Bostan Of Saadi Of Shiraz,Poetry,267,4.34,https://www.goodreads.com/book/show/1559633._
Thomas Aquinas,male,Italy,1274,25709,"Summa Theologica, 5 Vols",Philosophy,3020,4.09,https://www.goodreads.com/book/show/25709.Summa_Theologica_5_Vols
Saadi,male,Iran,1290,1559625,غزلیات سعدی,Poetry,598,4.6,https://www.goodreads.com/book/show/1559625._
Lady Nijō,female,Japan,1307,1200593,The Confessions of Lady Nijō,Cultural,288,3.93,https://www.goodreads.com/book/show/1200593.The_Confessions_of_Lady_Nij_
Dante Alighieri,male,Italy,1308,6656,The Divine Comedy,Classics,798,4.07,https://www.goodreads.com/book/show/6656.The_Divine_Comedy
Dante Alighieri,male,Italy,1320,15645,Inferno,Classics,490,3.99,https://www.goodreads.com/book/show/15645.Inferno
Giovanni Boccaccio,male,Italy,1353,51799,The Decameron,Classics,909,3.87,https://www.goodreads.com/book/show/51799.The_Decameron
Luo Guanzhong,male,China,1360,158770,Three Kingdoms: Classic Novel in Four Volumes,Classics,2339,4.41,https://www.goodreads.com/book/show/158770.Three_Kingdoms
Michelle Knudsen,male,United States,1386,127179,Library Lion,Childrens,42,4.38,https://www.goodreads.com/book/show/127179.Library_Lion
Geoffrey Chaucer,male,England,1390,2696,The Canterbury Tales,Classics,504,3.49,https://www.goodreads.com/book/show/2696.The_Canterbury_Tales
Hafez,male,Iran,1398,46292,The Divan,Poetry,566,4.63,https://www.goodreads.com/book/show/46292.The_Divan
Hafez,male,Iran,1398,46292,حافظ شیراز,Poetry,672,4.64,https://www.goodreads.com/book/show/46292.The_Divan
Thomas à Kempis,male,Germany,1418,851393,The Imitation of Christ,Religion,288,4.19,https://www.goodreads.com/book/show/851393.The_Imitation_of_Christ
Thomas Malory,male,England,1485,672875,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Classics,512,3.93,https://www.goodreads.com/book/show/672875.Le_Morte_d_Arthur
Erasmus,male,Netherlands,1510,449017,In Praise of Folly,Philosophy,71,3.88,https://www.goodreads.com/book/show/449017.Praise_of_Folly
Niccolò Machiavelli,male,Italy,1513,28862,The Prince,Classics,140,3.8,https://www.goodreads.com/book/show/28862.The_Prince
Niccolò Machiavelli,male,Italy,1513,28862,The Prince,Classics,134,3.8,https://www.goodreads.com/book/show/28862.The_Prince
Thomas More,male,United Kingdom,1516,18414,Utopia,Classics,135,3.52,https://www.goodreads.com/book/show/18414.Utopia
Martin Luther,male,Germany,1517,178747,Martin Luther's Ninety-Five Theses,Religion,348,3.86,https://www.goodreads.com/book/show/178747.Martin_Luther_s_Ninety_Five_Theses
Martin Luther,male,Germany,1525,820966,The Bondage of the Will,Religion,322,4.19,https://www.goodreads.com/book/show/820966.The_Bondage_of_the_Will
